"id","leg_id","rank_code","count","eco_load_id","domain"
"333","939491","CPT","0","NULL","FC"
"334","939491","FO","0","NULL","FC"
"389","1285392","CPT","0","NULL","FC"
"390","1285392","FO","0","NULL","FC"
"401","1326174","CPT","0","NULL","FC"
"402","1326174","FO","0","NULL","FC"
"383","1264555","CPTR","0","NULL","FC"
"385","1264555","CPT2","0","NULL","FC"
"381","1264562","CPT","0","NULL","FC"
"382","1264562","FO","0","NULL","FC"
"384","1264562","CPTR","0","NULL","FC"
"386","1264562","CPT2","0","NULL","FC"
"335","949979","CPT","0","NULL","FC"
"336","949979","FO","0","NULL","FC"
"391","1330155","CPT","0","NULL","FC"
"392","1330155","FO","0","NULL","FC"
"403","1304847","CPT","0","NULL","FC"
"404","1304847","FO","0","NULL","FC"
"347","938009","CPT","0","NULL","FC"
"348","938009","FO","0","NULL","FC"
"349","937966","CPT","0","NULL","FC"
"350","937966","FO","0","NULL","FC"
"351","948385","CPT","0","NULL","FC"
"352","948385","FO","0","NULL","FC"
"365","1198954","CPT","0","NULL","FC"
"366","1198954","FO","0","NULL","FC"
"251","815025","CPT","0","NULL","FC"
"252","815025","FO","0","NULL","FC"
"211","815619","CPT","-1","NULL","FC"
"212","815619","FO","-1","NULL","FC"
"311","815866","CPT","0","NULL","FC"
"312","815866","FO","0","NULL","FC"
"313","815395","CPT","0","NULL","FC"
"314","815395","FO","0","NULL","FC"
"235","815053","CPT","0","NULL","FC"
"236","815053","FO","0","NULL","FC"
"393","1330162","CPT","0","NULL","FC"
"394","1330162","FO","0","NULL","FC"
"367","1198954","CPTR","0","NULL","FC"
"337","949975","CPT","0","NULL","FC"
"338","949975","FO","0","NULL","FC"
"353","1067327","CPT","0","NULL","FC"
"354","1067327","FO","0","NULL","FC"
"315","815765","CPT","0","NULL","FC"
"316","815765","FO","0","NULL","FC"
"219","815018","CPT","0","NULL","FC"
"220","815018","FO","0","NULL","FC"
"317","815173","CPT","0","NULL","FC"
"318","815173","FO","0","NULL","FC"
"321","NULL","CPTR","0","NULL","FC"
"355","1100127","CPT","0","NULL","FC"
"356","1100127","FO","0","NULL","FC"
"357","1088165","CPT","0","NULL","FC"
"358","1088165","FO","0","NULL","FC"
"322","816210","CPTR","0","NULL","FC"
"214","815276","FO","0","NULL","FC"
