"id","pairing_id","rank_code","count"
"430","284","FO","1"
"431","285","CPT","1"
"432","285","FO","1"
"433","286","CPT","1"
"434","286","FO","1"
"435","287","CPT","1"
"436","287","FO","1"
"437","288","CPT","1"
"438","288","FO","1"
"439","289","CPT","1"
"440","289","FO","1"
"441","290","CPT","1"
"442","290","FO","1"
"443","291","CPT","1"
"444","291","FO","1"
"445","292","CPT","1"
"446","292","FO","1"
"447","293","CPT","1"
"448","293","FO","1"
"449","294","CPT","1"
"450","294","FO","1"
"451","295","CPT","1"
"452","295","FO","1"
"453","296","CPT","1"
"454","296","FO","1"
"455","297","CPT","1"
"456","297","FO","1"
"457","298","CPT","1"
"458","298","FO","1"
"459","299","CPT","1"
"460","299","FO","1"
"461","300","CPT","1"
"462","300","FO","1"
"491","326","CPT","1"
"492","326","FO","1"
"493","327","CPT","1"
"494","327","FO","1"
"495","329","CPT","1"
"496","329","FO","1"
"497","330","CPT","1"
"498","330","FO","1"
"499","332","CPT","1"
"500","332","FO","1"
"501","333","CPT","1"
"502","333","FO","1"
"503","339","CPT","1"
"504","339","FO","1"
"505","341","CPT","1"
"506","341","FO","1"
"507","342","CPT","1"
"508","342","FO","1"
"509","343","CPT","1"
"510","343","FO","1"
"511","344","CPT","1"
"512","344","FO","1"
"513","345","CPT","1"
"514","345","FO","1"
"515","350","CPT","1"
"516","350","FO","1"
"517","351","CPT","1"
"518","351","FO","1"
"519","354","CPT","1"
"520","354","FO","1"
"521","355","CPT","1"
"522","355","FO","1"
"523","356","CPT","1"
"389","NULL","CPT","1"
"390","NULL","FO","1"
"524","356","FO","1"
"525","357","CPT","1"
"526","357","FO","1"
"527","358","CPT","1"
"528","358","FO","1"
"529","359","CPT","1"
"530","359","FO","1"
"531","360","CPT","1"
"532","360","FO","1"
"533","361","CPT","1"
"534","361","FO","1"
"535","362","CPT","1"
"536","362","FO","1"
"537","363","CPT","1"
"538","363","FO","1"
"539","364","CPT","1"
"540","364","FO","1"
"541","365","CPT","1"
"542","365","FO","1"
"543","366","CPT","1"
"544","366","FO","1"
"545","367","CPT","1"
"546","367","FO","1"
"547","368","CPT","1"
"548","368","FO","1"
"549","369","CPT","1"
"550","369","FO","1"
"551","370","CPT","1"
"552","370","FO","1"
"553","371","CPT","1"
"554","371","FO","1"
"555","372","CPT","1"
"556","372","FO","1"
"557","373","CPT","1"
"558","373","FO","1"
"559","374","CPT","1"
"560","374","FO","1"
"561","375","CPT","1"
"562","375","FO","1"
"563","376","CPT","1"
"564","376","FO","1"
"565","377","CPT","1"
"566","377","FO","1"
"567","378","CPT","1"
"568","378","FO","1"
"569","NULL","CPT","1"
"570","NULL","FO","1"
"595","390","CPT","1"
"596","390","FO","1"
"571","380","CPT","1"
"572","380","FO","1"
"573","381","CPT","1"
"574","381","FO","1"
"575","382","CPT","1"
"576","382","FO","1"
"577","383","CPT","1"
"578","383","FO","1"
"579","384","CPT","1"
"580","384","FO","1"
"581","385","CPT","1"
"582","385","FO","1"
"583","386","CPT","1"
"584","386","FO","1"
"587","245","CPT","3"
"588","245","FO","1"
"591","387","CPT","1"
"592","387","FO","1"
"593","388","CPT","1"
"594","388","FO","1"
"597","392","CPT","1"
"598","392","FO","1"
"599","393","CPT","1"
"600","393","FO","1"
"601","396","CPT","1"
"602","396","FO","1"
"603","397","CPT","1"
"604","397","FO","1"
"605","398","CPT","1"
"606","398","FO","1"
"607","401","CPT","1"
"608","401","FO","1"
"609","402","CPT","1"
"610","402","FO","1"
"961","NULL","CPT","1"
"791","432","CPT","1"
"792","432","FO","1"
"795","436","CPT","1"
"796","436","FO","1"
"709","NULL","CPT","1"
"710","NULL","FO","1"
"838","NULL","CPT","1"
"839","NULL","FO","1"
"735","NULL","CPT","1"
"736","NULL","FO","1"
"854","456","CPT","1"
"855","456","FO","1"
"797","NULL","CPT","1"
"798","NULL","FO","1"
"856","457","CPT","1"
"857","457","FO","1"
"769","406","CPT","1"
"770","406","FO","1"
"962","NULL","FO","1"
"966","487","CPT","1"
"891","NULL","CPT","1"
"892","NULL","FO","1"
"938","483","CPT","1"
"939","483","FO","1"
"901","NULL","CPT","1"
"902","NULL","FO","1"
"940","483","CPTR","1"
"913","NULL","CPT","1"
"914","NULL","FO","1"
"921","479","CPT","1"
"922","479","FO","1"
"931","482","CPT","1"
"932","482","FO","1"
"967","487","FO","1"
"968","487","CPTR","1"
"941","NULL","CPT","1"
"942","NULL","FO","1"
"969","487","CPT2","1"
"985","490","CPT","1"
"986","490","FO","1"
"963","NULL","CPT","1"
"964","NULL","FO","1"
"965","NULL","CPTR","1"
"976","NULL","CPT","1"
"977","NULL","FO","1"
"611","NULL","CPT","1"
"612","NULL","FO","1"
"777","NULL","CPT","1"
"778","NULL","FO","1"
"836","NULL","CPT","1"
"837","NULL","FO","1"
"655","407","CPT","1"
"656","407","FO","1"
"649","NULL","CPT","1"
"650","NULL","FO","1"
"917","NULL","CPT","1"
"918","NULL","FO","1"
"725","NULL","CPT","1"
"726","NULL","FO","1"
"653","NULL","CPT","1"
"654","NULL","FO","1"
"667","NULL","CPT","1"
"668","NULL","FO","1"
"885","NULL","CPT","1"
"886","NULL","FO","1"
"842","NULL","CPT","1"
"843","NULL","FO","1"
"669","NULL","CPT","1"
"670","NULL","FO","1"
"844","NULL","CPT","1"
"845","NULL","FO","1"
"671","NULL","CPT","1"
"672","NULL","FO","1"
"683","408","CPT","1"
"684","408","FO","1"
"753","NULL","CPT","1"
"754","NULL","FO","1"
"771","NULL","CPT","1"
"772","NULL","FO","1"
"858","NULL","CPT","1"
"695","409","CPT","1"
"696","409","FO","1"
"697","410","CPT","1"
"698","410","FO","1"
"859","NULL","FO","1"
"887","470","CPT","1"
"888","470","FO","1"
"773","NULL","CPT","1"
"774","NULL","FO","1"
"978","489","CPT","1"
"979","489","FO","1"
"893","472","CPT","1"
"894","472","FO","1"
"781","NULL","CPT","1"
"782","NULL","FO","1"
"860","NULL","CPT","1"
"783","NULL","CPT","1"
"784","NULL","FO","1"
"861","NULL","FO","2"
"862","NULL","CPTR","1"
"785","NULL","CPT","1"
"786","NULL","FO","1"
"897","NULL","CPT","1"
"898","NULL","FO","1"
"787","NULL","CPT","1"
"788","NULL","FO","1"
"789","430","CPT","1"
"790","430","FO","1"
"793","435","CPT","1"
"794","435","FO","1"
"799","437","CPT","1"
"800","437","FO","1"
"701","NULL","CPT","1"
"702","NULL","FO","1"
"801","411","CPT","1"
"802","411","FO","1"
"803","441","CPT","1"
"804","441","FO","1"
"805","NULL","CPT","1"
"806","NULL","FO","1"
"863","NULL","CPT","1"
"864","NULL","FO","2"
"865","NULL","CPTR","1"
"866","NULL","CPT2","1"
"923","NULL","CPT","1"
"924","NULL","FO","1"
"807","NULL","CPT","1"
"808","NULL","FO","1"
"903","475","CPT","1"
"904","475","FO","1"
"867","458","CPT","1"
"868","458","FO","2"
"869","458","CPTR","1"
"870","458","CPT2","1"
"871","NULL","CPT","1"
"872","NULL","FO","1"
"873","NULL","CPT","1"
"874","NULL","FO","1"
"879","460","CPT","1"
"880","460","FO","1"
"881","468","CPT","1"
"882","468","FO","1"
"883","469","CPT","1"
"884","469","FO","1"
"905","NULL","CPT","1"
"906","NULL","FO","1"
"925","480","CPT","1"
"926","480","FO","1"
"907","NULL","CPT","1"
"908","NULL","FO","1"
"949","NULL","CPT","1"
"950","NULL","FO","1"
"909","476","CPT","1"
"910","476","FO","1"
"933","NULL","CPT","1"
"934","NULL","FO","1"
"915","NULL","CPT","1"
"916","NULL","FO","1"
"951","485","CPT","1"
"952","485","FO","1"
"943","484","CPT","1"
"944","484","FO","1"
"945","NULL","CPT","1"
"946","NULL","FO","1"
"970","NULL","CPT","1"
"971","NULL","FO","1"
"980","489","CPTR","1"
"981","489","CPT2","1"
"947","NULL","CPT","1"
"948","NULL","FO","1"
"972","488","CPT","1"
"973","488","FO","1"
"953","NULL","CPT","1"
"954","NULL","FO","1"
"955","NULL","CPT","1"
"956","NULL","FO","1"
"982","489","FO2","1"
"813","NULL","CPT","1"
"809","NULL","CPT","1"
"810","NULL","FO","1"
"814","NULL","FO","1"
"811","NULL","CPT","1"
"812","NULL","FO","1"
"848","403","CPT","1"
"849","403","FO","1"
"815","NULL","CPT","1"
"816","NULL","FO","1"
"850","442","CPT","1"
"817","NULL","CPT","1"
"818","NULL","FO","1"
"851","442","FO","1"
"819","NULL","CPT","1"
"820","NULL","FO","1"
"821","NULL","CPT","1"
"822","NULL","FO","1"
"875","NULL","CPT","1"
"876","NULL","FO","1"
"877","459","CPT","1"
"823","NULL","CPT","2"
"824","NULL","FO","2"
"825","NULL","CPTR","1"
"878","459","FO","1"
"889","471","CPT","1"
"890","471","FO","1"
"826","NULL","CPT","2"
"827","NULL","FO","2"
"828","NULL","CPTR","1"
"895","473","CPT","1"
"896","473","FO","1"
"829","443","CPT","2"
"830","443","FO","2"
"831","443","CPTR","1"
"832","444","CPT","1"
"833","444","FO","1"
"834","446","CPT","1"
"835","446","FO","1"
"899","474","CPT","1"
"900","474","FO","1"
"911","477","CPT","1"
"912","477","FO","1"
"919","478","CPT","1"
"920","478","FO","1"
"927","NULL","CPT","1"
"928","NULL","FO","1"
"929","481","CPT","1"
"930","481","FO","1"
"935","NULL","CPT","1"
"936","NULL","FO","1"
"937","NULL","CPTR","1"
"957","486","CPT","1"
"958","486","FO","1"
"959","NULL","CPT","1"
"960","NULL","FO","1"
"974","NULL","CPT","1"
"975","NULL","FO","1"
"983","NULL","CPT","1"
"984","NULL","FO","1"
