"id","eco_id","duty_type_id","night","hard","briefing_time","debriefing_time","flight_time","crew_type_id","duty_group_id","acclimatization","increased_one_hour","night_departure","night_arrival","date_start_plan_utc","date_end_plan_utc","date_start_fact_utc","date_end_fact_utc","rps_briefing_time","rps_debriefing_time","duration_plan","duration_fact","duration_right_max","block_time","work_time_plan","work_time_fact","briefing_work_time","debriefing_work_time","rps_briefing_work_time","rps_debriefing_work_time","duration_plan_max"
"59","NULL","1","NULL","NULL","NULL","NULL","135","1","2076475224","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","135","NULL","NULL","NULL","NULL","NULL","NULL"
"60","NULL","1","NULL","NULL","NULL","NULL","135","1","2076475227","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","135","NULL","NULL","NULL","NULL","NULL","NULL"
"61","NULL","1","NULL","NULL","NULL","NULL","135","1","2076475226","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","135","NULL","NULL","NULL","NULL","NULL","NULL"
"62","NULL","1","NULL","NULL","NULL","NULL","135","1","2076475229","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","135","NULL","NULL","NULL","NULL","NULL","NULL"
"63","NULL","1","NULL","NULL","NULL","NULL","135","1","2076475228","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","135","NULL","NULL","NULL","NULL","NULL","NULL"
"64","NULL","1","NULL","NULL","NULL","NULL","135","1","2076475199","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","135","NULL","NULL","NULL","NULL","NULL","NULL"
"65","NULL","1","NULL","NULL","NULL","NULL","135","1","2076475198","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","135","NULL","NULL","NULL","NULL","NULL","NULL"
"66","NULL","1","NULL","NULL","NULL","NULL","135","1","2076475201","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","135","NULL","NULL","NULL","NULL","NULL","NULL"
"67","NULL","1","NULL","NULL","NULL","NULL","170","1","2076475206","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","170","NULL","NULL","NULL","NULL","NULL","NULL"
"68","NULL","1","NULL","NULL","NULL","NULL","170","1","2076475406","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","170","NULL","NULL","NULL","NULL","NULL","NULL"
"69","NULL","1","NULL","NULL","NULL","NULL","170","1","2076475411","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","170","NULL","NULL","NULL","NULL","NULL","NULL"
"70","NULL","1","NULL","NULL","NULL","NULL","170","1","2076475413","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","170","NULL","NULL","NULL","NULL","NULL","NULL"
"71","NULL","1","NULL","NULL","NULL","NULL","170","1","2076475415","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","170","NULL","NULL","NULL","NULL","NULL","NULL"
"72","NULL","1","NULL","NULL","NULL","NULL","170","1","2076475378","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","170","NULL","NULL","NULL","NULL","NULL","NULL"
"73","NULL","1","NULL","NULL","NULL","NULL","170","1","2076475380","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","170","NULL","NULL","NULL","NULL","NULL","NULL"
"74","NULL","1","NULL","NULL","NULL","NULL","130","1","2076475360","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","130","NULL","NULL","NULL","NULL","NULL","NULL"
"75","NULL","1","NULL","NULL","NULL","NULL","210","1","2076471416","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","210","NULL","NULL","NULL","NULL","NULL","NULL"
"76","NULL","1","NULL","NULL","NULL","NULL","210","1","2076471418","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","210","NULL","NULL","NULL","NULL","NULL","NULL"
"77","NULL","1","NULL","NULL","NULL","NULL","205","1","2076471496","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","205","NULL","NULL","NULL","NULL","NULL","NULL"
"78","NULL","1","NULL","NULL","NULL","NULL","255","1","2076471500","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","255","NULL","NULL","NULL","NULL","NULL","NULL"
"79","NULL","1","NULL","NULL","NULL","NULL","255","1","2076471726","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","255","NULL","NULL","NULL","NULL","NULL","NULL"
"80","NULL","1","NULL","NULL","NULL","NULL","255","1","2076471728","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","255","NULL","NULL","NULL","NULL","NULL","NULL"
"81","NULL","1","NULL","NULL","NULL","NULL","255","1","2076471730","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","255","NULL","NULL","NULL","NULL","NULL","NULL"
"82","NULL","1","NULL","NULL","NULL","NULL","255","1","2076471732","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","255","NULL","NULL","NULL","NULL","NULL","NULL"
"83","NULL","1","NULL","NULL","NULL","NULL","95","1","2076471643","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","95","NULL","NULL","NULL","NULL","NULL","NULL"
"84","NULL","1","NULL","NULL","NULL","NULL","260","1","2076471974","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","260","NULL","NULL","NULL","NULL","NULL","NULL"
"85","NULL","1","NULL","NULL","NULL","NULL","260","1","2076471977","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","260","NULL","NULL","NULL","NULL","NULL","NULL"
"86","NULL","1","NULL","NULL","NULL","NULL","260","1","2076471976","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","260","NULL","NULL","NULL","NULL","NULL","NULL"
"87","NULL","1","NULL","NULL","NULL","NULL","260","1","2076471979","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","260","NULL","NULL","NULL","NULL","NULL","NULL"
"88","NULL","1","NULL","NULL","NULL","NULL","260","1","2076471978","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","260","NULL","NULL","NULL","NULL","NULL","NULL"
"89","NULL","1","NULL","NULL","NULL","NULL","465","1","2076471951","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","465","NULL","NULL","NULL","NULL","NULL","NULL"
"90","NULL","1","NULL","NULL","NULL","NULL","465","1","2076471953","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","465","NULL","NULL","NULL","NULL","NULL","NULL"
"91","NULL","1","NULL","NULL","NULL","NULL","465","1","2076471955","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","465","NULL","NULL","NULL","NULL","NULL","NULL"
"92","NULL","1","NULL","NULL","NULL","NULL","465","1","2076471957","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","465","NULL","NULL","NULL","NULL","NULL","NULL"
"93","NULL","1","NULL","NULL","NULL","NULL","465","1","2076471959","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","465","NULL","NULL","NULL","NULL","NULL","NULL"
"94","NULL","1","NULL","NULL","NULL","NULL","300","1","2076472251","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","300","NULL","NULL","NULL","NULL","NULL","NULL"
"95","NULL","1","NULL","NULL","NULL","NULL","300","1","2076472252","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","300","NULL","NULL","NULL","NULL","NULL","NULL"
"96","NULL","1","NULL","NULL","NULL","NULL","300","1","2076472222","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","300","NULL","NULL","NULL","NULL","NULL","NULL"
"97","NULL","1","NULL","NULL","NULL","NULL","300","1","2076472224","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","300","NULL","NULL","NULL","NULL","NULL","NULL"
"98","NULL","1","NULL","NULL","NULL","NULL","300","1","2076472226","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","300","NULL","NULL","NULL","NULL","NULL","NULL"
"99","NULL","1","NULL","NULL","NULL","NULL","300","1","2076472164","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","300","NULL","NULL","NULL","NULL","NULL","NULL"
"100","NULL","1","NULL","NULL","NULL","NULL","300","1","2076472166","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","300","NULL","NULL","NULL","NULL","NULL","NULL"
"101","NULL","1","NULL","NULL","NULL","NULL","255","1","2076471380","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","255","NULL","NULL","NULL","NULL","NULL","NULL"
"102","NULL","1","NULL","NULL","NULL","NULL","495","1","2076471554","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","495","NULL","NULL","NULL","NULL","NULL","NULL"
"103","NULL","1","NULL","NULL","NULL","NULL","495","1","2076471556","NULL","false","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","495","NULL","NULL","NULL","NULL","NULL","NULL"
