"id","arrival_airport_code","arrival_airport_terminal","change_date","deadhead","departure_airport_code","departure_airport_terminal","airline_designator","aircraft_type","number","operational_suffix","leg_sequence_number","onward_carrier","onward_flight","onward_suffix","plan_arrival_date_utc","plan_departure_date_utc","service_type","status","route_id","ofp_time_start_utc","ofp_time_end_utc","code_sharing","aircraft_reg_num","estim_blockoff_time_utc","estim_blockon_time_utc","actual_departure_date_utc","actual_arrival_date_utc","onward_flight_date","warning_status","warning_status_time","date_eng_on_utc","date_eng_off_utc","special_status","version_id","start_date_utc","comment","action_type","change_source","modification_id","class_config","leg_oper_schedule_status","flight_time","user_id","smak_id"
"1297635","MRV","NULL","2023-04-26T15:05:47.475693","NULL","SVO","B","SU","32A","1314","NULL","1","NULL","NULL","NULL","2022-12-18T22:35:00","2022-12-18T19:05:00","J","ACTIVE","139018035474750158","2022-12-18T22:35:00","2022-12-19T22:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-18T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297636","MRV","NULL","2023-04-26T15:05:47.475693","NULL","SVO","B","SU","32A","1314","NULL","1","NULL","NULL","NULL","2022-12-19T22:35:00","2022-12-19T19:05:00","J","ACTIVE","139018035474750159","2022-12-19T22:35:00","2022-12-20T22:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-19T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297637","MRV","NULL","2023-04-26T15:05:47.475693","NULL","SVO","B","SU","32A","1314","NULL","1","NULL","NULL","NULL","2022-12-20T22:35:00","2022-12-20T19:05:00","J","ACTIVE","139018035474750160","2022-12-20T22:35:00","2022-12-21T22:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-20T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297638","MRV","NULL","2023-04-26T15:05:47.475693","NULL","SVO","B","SU","32A","1314","NULL","1","NULL","NULL","NULL","2022-12-21T22:35:00","2022-12-21T19:05:00","J","ACTIVE","139018035474750161","2022-12-21T22:35:00","2022-12-22T22:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-21T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297639","MRV","NULL","2023-04-26T15:05:47.475693","NULL","SVO","B","SU","32A","1314","NULL","1","NULL","NULL","NULL","2022-12-22T22:35:00","2022-12-22T19:05:00","J","ACTIVE","139018035474750162","2022-12-22T22:35:00","2022-12-23T22:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-22T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297640","MRV","NULL","2023-04-26T15:05:47.475693","NULL","SVO","B","SU","32A","1314","NULL","1","NULL","NULL","NULL","2022-12-23T22:35:00","2022-12-23T19:05:00","J","ACTIVE","139018035474750163","2022-12-23T22:35:00","2022-12-24T22:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-23T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297641","MRV","NULL","2023-04-26T15:05:47.475693","NULL","SVO","B","SU","32A","1314","NULL","1","NULL","NULL","NULL","2022-12-24T22:35:00","2022-12-24T19:05:00","J","ACTIVE","139018035474750164","2022-12-24T22:35:00","2022-12-25T22:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-24T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297642","MRV","NULL","2023-04-26T15:05:47.475693","NULL","SVO","B","SU","32A","1314","NULL","1","NULL","NULL","NULL","2022-12-25T22:35:00","2022-12-25T19:05:00","J","ACTIVE","139018035474750165","2022-12-25T22:35:00","2022-12-26T22:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-25T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297643","MRV","NULL","2023-04-26T15:05:47.475693","NULL","SVO","B","SU","32A","1314","NULL","1","NULL","NULL","NULL","2022-12-26T22:35:00","2022-12-26T19:05:00","J","ACTIVE","139018035474750166","2022-12-26T22:35:00","2022-12-27T22:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-26T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297644","MRV","NULL","2023-04-26T15:05:47.475693","NULL","SVO","B","SU","32A","1314","NULL","1","NULL","NULL","NULL","2022-12-27T22:35:00","2022-12-27T19:05:00","J","ACTIVE","139018035474750167","2022-12-27T22:35:00","2022-12-28T22:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-27T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297645","MRV","NULL","2023-04-26T15:05:47.475693","NULL","SVO","B","SU","32A","1314","NULL","1","NULL","NULL","NULL","2022-12-28T22:35:00","2022-12-28T19:05:00","J","ACTIVE","139018035474750168","2022-12-28T22:35:00","2022-12-29T22:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-28T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297646","MRV","NULL","2023-04-26T15:05:47.475693","NULL","SVO","B","SU","32A","1314","NULL","1","NULL","NULL","NULL","2022-12-29T22:35:00","2022-12-29T19:05:00","J","ACTIVE","139018035474750169","2022-12-29T22:35:00","2022-12-30T22:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-29T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297647","MRV","NULL","2023-04-26T15:05:47.475693","NULL","SVO","B","SU","32A","1314","NULL","1","NULL","NULL","NULL","2022-12-30T22:35:00","2022-12-30T19:05:00","J","ACTIVE","139018035474750170","2022-12-30T22:35:00","2022-12-31T22:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-30T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297648","MRV","NULL","2023-04-26T15:05:47.475693","NULL","SVO","B","SU","32A","1314","NULL","1","NULL","NULL","NULL","2022-12-31T22:35:00","2022-12-31T19:05:00","J","ACTIVE","139018035474750171","2022-12-31T22:35:00","2023-01-01T22:34:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-31T03:00:00","NULL","NEW","SSIM","65","C8,Y150","NULL","NULL","NULL","NULL"
"1297734","SVO","B","2023-04-26T15:05:47.546442","NULL","MRV","NULL","SU","32N","1313","NULL","1","NULL","NULL","NULL","2022-12-16T19:15:00","2022-12-16T15:35:00","J","ACTIVE","139018035475460001","2022-12-16T19:15:00","2022-12-17T19:14:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2022-12-16T03:00:00","NULL","NEW","SSIM","65","C12,Y144","NULL","NULL","NULL","NULL"
